uf,municipio,segmento_cliente,natureza_juridica,fonte_cliente,cnae_codigo,cnae_descricao,capital_social,idade_cnpj,serasa_contagem_negativacoes,serasa_contagem_protestos,serasa_idade_divida_mais_recente,serasa_credores,serasa_socio_tem_negativacao,ifood_contagem_avaliacoes,ifood_faixa_preco,google_maps_avaliacao,google_maps_contagem_avaliacoes,google_maps_tem_website,inadimplente
CE,FORTALEZA,Restaurante Brasileiro,213-5 - Empresário (Individual),Fonte 5,47.81-4-00,Comércio varejista de artigos do vestuário e acessórios,"(3000, 5000]","(750, 900]",0,0,,,1,,,,,,0
PE,BEZERROS,Doces & Confeitaria,213-5 - Empresário (Individual),Fonte 2,56.20-1-04,Fornecimento de alimentos preparados preponderantemente para consumo domiciliar,"(15000, 20000]","(25, 50]",0,0,,,0,,,,,,1
PE,IPOJUCA,Doces & Confeitaria,213-5 - Empresário (Individual),Fonte 1,47.29-6-99,Comércio varejista de produtos alimentícios em geral ou especializado em produtos alimentícios não especificados anteriormente,"(10000, 15000]","(600, 750]",0,0,,,1,"(20, 30]",$,,,,1
AL,MACEIO,Pizza & Massas,213-5 - Empresário (Individual),Fonte 5,56.20-1-02,Serviços de alimentação para eventos e recepções - bufê,"(200, 1000]","(1600, 2000]",0,0,,,1,,,,,,1
AL,MACEIO,Pizza & Massas,213-5 - Empresário (Individual),Fonte 5,56.11-2-01,Restaurantes e similares,"(20000, 30000]","(2000, 2400]",0,0,,,1,,,,,,0
AL,MACEIO,Mercearia & Mercado,206-2 - Sociedade Empresária Limitada,Fonte 5,47.82-2-01,Comércio varejista de calçados,"(100000, 200000]","(350, 450]",2,0,6,"Bancos e Financeiro, Tecnologia e Pagamentos",0,,,,,,1
CE,AQUIRAZ,Distribuidor,206-2 - Sociedade Empresária Limitada,Fonte 1,47.23-7-00,Comércio varejista de bebidas,"(8000, 10000]","(600, 750]",0,0,,,0,,,,,,0
PE,RECIFE,Lanches & Salgados,213-5 - Empresário (Individual),Fonte 1,47.21-1-02,Padaria e confeitaria com predominância de revenda,"(0, 1]","(4000, 5000]",1,0,42,Financeiro,1,,,"(3.0, 4.0]","(100, 200]",1,0
PE,RECIFE,Restaurante Brasileiro,213-5 - Empresário (Individual),Fonte 1,56.11-2-01,Restaurantes e similares,"(1500, 2000]","(900, 1150]",0,0,,,1,"(0, 5]",$,,,,0
PB,JOAO PESSOA,Doces & Confeitaria,213-5 - Empresário (Individual),Fonte 5,47.23-7-00,Comércio varejista de bebidas,"(200, 1000]","(2400, 3000]",1,0,14,Bancos e Financeiro,0,,,,,,1
AL,MACEIO,Restaurante Brasileiro,213-5 - Empresário (Individual),Fonte 5,56.20-1-04,Fornecimento de alimentos preparados preponderantemente para consumo domiciliar,"(30000, 50000]","(1150, 1300]",0,0,,,1,,,,,,0
PB,CABEDELO,Mercearia & Mercado,213-5 - Empresário (Individual),Fonte 1,47.12-1-00,"Comércio varejista de mercadorias em geral, com predominância de produtos alimentícios - minimercados, mercearias e armazéns","(10000, 15000]","(150, 250]",0,0,,,1,,,,,,0
PE,RECIFE,Padaria,213-5 - Empresário (Individual),Fonte 1,47.21-1-02,Padaria e confeitaria com predominância de revenda,"(2000, 3000]","(1300, 1600]",1,0,18,Alimentos e Bebidas,0,,,,,,1
PE,CARUARU,Hambúrguer,213-5 - Empresário (Individual),Fonte 1,56.11-2-01,Restaurantes e similares,"(30000, 50000]","(450, 600]",0,0,,,0,,,,,,0
PE,IPOJUCA,Mercearia & Mercado,213-5 - Empresário (Individual),Fonte 2,47.12-1-00,"Comércio varejista de mercadorias em geral, com predominância de produtos alimentícios - minimercados, mercearias e armazéns","(3000, 5000]","(50, 100]",0,0,,,0,,,"(2.0, 3.0]","(0, 5]",1,0
PE,PAULISTA,Pizza & Massas,213-5 - Empresário (Individual),Fonte 2,56.20-1-02,Serviços de alimentação para eventos e recepções - bufê,"(8000, 10000]","(150, 250]",0,0,,,0,,,,,,1
CE,FORTALEZA,Churrascaria,213-5 - Empresário (Individual),Fonte 1,56.11-2-01,Restaurantes e similares,"(10000, 15000]","(25, 50]",0,0,,,0,,,,,,1
PE,JABOATAO DOS GUARARAPES,Restaurante Brasileiro,213-5 - Empresário (Individual),Fonte 1,56.11-2-01,Restaurantes e similares,"(200, 1000]","(250, 350]",0,0,,,0,,,"(3.0, 4.0]","(10, 20]",1,0
PE,GRAVATA,Office - Escolas & Escritórios & Consultórios & Associações,206-2 - Sociedade Empresária Limitada,Fonte 1,69.20-6-01,Atividades de contabilidade,"(20000, 30000]","(4000, 5000]",0,0,,,0,,,,,,0
PE,RECIFE,Doces & Confeitaria,213-5 - Empresário (Individual),Fonte 2,10.91-1-02,Fabricação de produtos de padaria e confeitaria com predominância de produção própria,"(0, 1]","(250, 350]",0,0,,,1,,,,,,1
CE,MARACANAU,Padaria,213-5 - Empresário (Individual),Fonte 1,47.21-1-02,Padaria e confeitaria com predominância de revenda,"(8000, 10000]","(5000, 8000]",0,0,,,0,,,,,,0
AL,MACEIO,Restaurante Brasileiro,213-5 - Empresário (Individual),Fonte 5,56.11-2-04,"Bares e outros estabelecimentos especializados em servir bebidas, sem entretenimento","(3000, 5000]","(4000, 5000]",24,1,27,Telecomunicações,1,,,,,,1
PB,JOAO PESSOA,Padaria,213-5 - Empresário (Individual),Fonte 2,32.99-0-99,Fabricação de produtos diversos não especificados anteriormente,"(200, 1000]","(3000, 4000]",0,0,,,1,,,,,,0
PB,JOAO PESSOA,Mercearia & Mercado,213-5 - Empresário (Individual),Fonte 1,47.12-1-00,"Comércio varejista de mercadorias em geral, com predominância de produtos alimentícios - minimercados, mercearias e armazéns","(3000, 5000]","(2400, 3000]",10,2,1,"Distribuição, Bancos e Financeiro",1,,,,,,0
AL,MACEIO,Doces & Confeitaria,213-5 - Empresário (Individual),Fonte 5,56.20-1-04,Fornecimento de alimentos preparados preponderantemente para consumo domiciliar,"(1, 200]","(1300, 1600]",0,0,,,0,,,,,,1
AL,MACEIO,Doces & Confeitaria,213-5 - Empresário (Individual),Fonte 5,47.12-1-00,"Comércio varejista de mercadorias em geral, com predominância de produtos alimentícios - minimercados, mercearias e armazéns","(0, 1]","(4000, 5000]",0,0,,,0,,,,,,1
PE,VITORIA DE SANTO ANTAO,Doces & Confeitaria,206-2 - Sociedade Empresária Limitada,Fonte 2,47.52-1-00,Comércio varejista especializado de equipamentos de telefonia e comunicação,"(70000, 100000]","(3000, 4000]",1,0,35,Bancos e Financeiro,1,,,,,,0
PE,RECIFE,Hambúrguer,213-5 - Empresário (Individual),Fonte 2,56.11-2-03,"Lanchonetes, casas de chá, de sucos e similares","(10000, 15000]","(50, 100]",0,0,,,0,,,,,,1
PB,JOAO PESSOA,Açaí & Sorvetes,213-5 - Empresário (Individual),Fonte 5,47.29-6-99,Comércio varejista de produtos alimentícios em geral ou especializado em produtos alimentícios não especificados anteriormente,"(1000, 1500]","(1300, 1600]",0,0,,,1,,,,,,1
AL,MACEIO,Office - Escolas & Escritórios & Consultórios & Associações,213-5 - Empresário (Individual),Fonte 5,43.21-5-00,Instalação e manutenção elétrica,"(8000, 10000]","(2400, 3000]",0,0,,,0,,,,,,1
PE,RECIFE,Mercearia & Mercado,206-2 - Sociedade Empresária Limitada,Fonte 5,47.21-1-02,Padaria e confeitaria com predominância de revenda,"(30000, 50000]","(350, 450]",0,0,,,0,,,,,,0
PE,RECIFE,Mercearia & Mercado,213-5 - Empresário (Individual),Fonte 1,47.12-1-00,"Comércio varejista de mercadorias em geral, com predominância de produtos alimentícios - minimercados, mercearias e armazéns","(5000, 8000]","(900, 1150]",0,0,,,1,,,,,,1
AL,MACEIO,Açaí & Sorvetes,213-5 - Empresário (Individual),Fonte 5,56.12-1-00,Serviços ambulantes de alimentação,"(200, 1000]","(1150, 1300]",0,0,,,1,,,,,,0
PE,RECIFE,Hambúrguer,213-5 - Empresário (Individual),Fonte 1,56.11-2-03,"Lanchonetes, casas de chá, de sucos e similares","(10000, 15000]","(8000, 25000]",1,0,15,Bancos e Financeiro,1,"(20, 30]",$$$,,,,0
PE,GRAVATA,Doces & Confeitaria,213-5 - Empresário (Individual),Fonte 1,47.23-7-00,Comércio varejista de bebidas,"(30000, 50000]","(250, 350]",0,0,,,1,,,,,,0
CE,FORTALEZA,Mercearia & Mercado,213-5 - Empresário (Individual),Fonte 1,47.12-1-00,"Comércio varejista de mercadorias em geral, com predominância de produtos alimentícios - minimercados, mercearias e armazéns","(15000, 20000]","(350, 450]",0,0,,,0,,,,,,0
PE,GOIANA,Hambúrguer,213-5 - Empresário (Individual),Fonte 5,56.11-2-03,"Lanchonetes, casas de chá, de sucos e similares","(200, 1000]","(250, 350]",0,0,,,0,,,,,,1
CE,FORTALEZA,Doces & Confeitaria,213-5 - Empresário (Individual),Fonte 1,56.11-2-03,"Lanchonetes, casas de chá, de sucos e similares","(200, 1000]","(0, 25]",0,0,,,0,,,,,,0
CE,FORTALEZA,Doces & Confeitaria,213-5 - Empresário (Individual),Fonte 5,10.91-1-02,Fabricação de produtos de padaria e confeitaria com predominância de produção própria,"(1500, 2000]","(150, 250]",0,0,,,1,,,,,,1
AL,MACEIO,Doces & Confeitaria,213-5 - Empresário (Individual),Fonte 5,56.20-1-04,Fornecimento de alimentos preparados preponderantemente para consumo domiciliar,"(200, 1000]","(1300, 1600]",0,0,,,1,,,,,,1
PE,GRAVATA,Restaurante Brasileiro,213-5 - Empresário (Individual),Fonte 2,56.11-2-01,Restaurantes e similares,"(3000, 5000]","(900, 1150]",3,0,14,"Bancos e Financeiro, Comércio",1,,,,,,0
PB,JOAO PESSOA,Saudável,206-2 - Sociedade Empresária Limitada,Fonte 1,47.73-3-00,Comércio varejista de artigos médicos e ortopédicos,"(8000, 10000]","(5000, 8000]",3,2,15,Serviços Ambientais,1,,,,,,0
PE,OLINDA,Pizza & Massas,213-5 - Empresário (Individual),Fonte 2,56.12-1-00,Serviços ambulantes de alimentação,"(0, 1]","(1300, 1600]",1,0,15,Alimentos e Bebidas,1,"(30, 50]",$,,,,1
PE,GARANHUNS,Lanches & Salgados,213-5 - Empresário (Individual),Fonte 1,56.11-2-03,"Lanchonetes, casas de chá, de sucos e similares","(3000, 5000]","(100, 150]",0,0,,,0,,,,,,1
PE,RECIFE,Lanches & Salgados,213-5 - Empresário (Individual),Fonte 1,56.11-2-03,"Lanchonetes, casas de chá, de sucos e similares","(2000, 3000]","(1300, 1600]",0,0,,,1,"(0, 5]",$,"(4.5, 5.0]","(10, 20]",1,0
AL,MACEIO,Restaurante Brasileiro,213-5 - Empresário (Individual),Fonte 5,56.11-2-01,Restaurantes e similares,"(1, 200]","(1300, 1600]",0,0,,,1,,,,,,0
AL,MACEIO,Restaurante Brasileiro,213-5 - Empresário (Individual),Fonte 5,47.12-1-00,"Comércio varejista de mercadorias em geral, com predominância de produtos alimentícios - minimercados, mercearias e armazéns","(50000, 70000]","(1300, 1600]",3,0,15,Bancos e Financeiro,1,,,,,,1
PE,GRAVATA,Hambúrguer,213-5 - Empresário (Individual),Fonte 2,56.11-2-01,Restaurantes e similares,"(15000, 20000]","(1300, 1600]",0,0,,,1,,,,,,0
CE,FORTALEZA,Mercearia & Mercado,213-5 - Empresário (Individual),Fonte 1,47.12-1-00,"Comércio varejista de mercadorias em geral, com predominância de produtos alimentícios - minimercados, mercearias e armazéns","(3000, 5000]","(5000, 8000]",0,0,,,0,,,,,,0
CE,EUSEBIO,Doces & Confeitaria,213-5 - Empresário (Individual),Fonte 1,47.29-6-99,Comércio varejista de produtos alimentícios em geral ou especializado em produtos alimentícios não especificados anteriormente,"(0, 1]","(50, 100]",0,0,,,1,,,,,,1
PE,CARUARU,Atacarejo & Supermercado,206-2 - Sociedade Empresária Limitada,Fonte 1,47.12-1-00,"Comércio varejista de mercadorias em geral, com predominância de produtos alimentícios - minimercados, mercearias e armazéns","(30000, 50000]","(1600, 2000]",0,0,,,1,,,,,,0
PE,OLINDA,Restaurante Brasileiro,213-5 - Empresário (Individual),Fonte 2,56.20-1-01,Fornecimento de alimentos preparados preponderantemente para empresas,"(3000, 5000]","(1300, 1600]",0,0,,,1,,,,,,0
CE,FORTALEZA,Mercearia & Mercado,213-5 - Empresário (Individual),Fonte 1,47.21-1-03,Comércio varejista de laticínios e frios,"(5000, 8000]","(1300, 1600]",0,0,,,1,,,,,,0
AL,MACEIO,Conveniência,213-5 - Empresário (Individual),Fonte 5,47.23-7-00,Comércio varejista de bebidas,"(8000, 10000]","(4000, 5000]",0,2,39,,1,,,,,,1
PE,GRAVATA,Distribuidor,213-5 - Empresário (Individual),Fonte 1,56.12-1-00,Serviços ambulantes de alimentação,"(3000, 5000]","(1600, 2000]",0,0,,,0,,,,,,0
PE,OLINDA,Atacarejo & Supermercado,206-2 - Sociedade Empresária Limitada,Fonte 5,47.12-1-00,"Comércio varejista de mercadorias em geral, com predominância de produtos alimentícios - minimercados, mercearias e armazéns","(30000, 50000]","(100, 150]",0,0,,,0,,,,,,1
PE,RECIFE,Mercearia & Mercado,213-5 - Empresário (Individual),Fonte 1,47.24-5-00,Comércio varejista de hortifrutigranjeiros,"(3000, 5000]","(750, 900]",0,0,,,0,,,"(4.5, 5.0]","(0, 5]",1,0
PE,JABOATAO DOS GUARARAPES,Hambúrguer,213-5 - Empresário (Individual),Fonte 1,56.11-2-03,"Lanchonetes, casas de chá, de sucos e similares","(200, 1000]","(450, 600]",0,0,,,1,,,,,,1
PE,GARANHUNS,Restaurante Brasileiro,213-5 - Empresário (Individual),Fonte 2,56.20-1-04,Fornecimento de alimentos preparados preponderantemente para consumo domiciliar,"(200, 1000]","(450, 600]",0,0,,,1,,,,,,1
PE,ABREU E LIMA,Restaurante Brasileiro,213-5 - Empresário (Individual),Fonte 2,56.11-2-01,Restaurantes e similares,"(3000, 5000]","(50, 100]",0,0,,,1,,,,,,1
CE,FORTALEZA,Restaurante Brasileiro,206-2 - Sociedade Empresária Limitada,Fonte 1,96.09-2-99,Outras atividades de serviços pessoais não especificadas anteriormente,"(100000, 200000]","(150, 250]",2,0,5,Alimentos e Bebidas,1,,,,,,0
PE,RECIFE,Pizza & Massas,213-5 - Empresário (Individual),Fonte 2,56.20-1-04,Fornecimento de alimentos preparados preponderantemente para consumo domiciliar,"(10000, 15000]","(450, 600]",0,0,,,1,,,,,,1
PE,IPOJUCA,Distribuidor,213-5 - Empresário (Individual),Fonte 1,47.12-1-00,"Comércio varejista de mercadorias em geral, com predominância de produtos alimentícios - minimercados, mercearias e armazéns","(20000, 30000]","(0, 25]",0,0,,,0,,,"(2.0, 3.0]","(0, 5]",1,0
PE,JABOATAO DOS GUARARAPES,Mercearia & Mercado,213-5 - Empresário (Individual),Fonte 1,47.21-1-04,"Comércio varejista de doces, balas, bombons e semelhantes","(10000, 15000]","(2000, 2400]",0,0,,,0,,,,,,0
PE,GRAVATA,Lanches & Salgados,213-5 - Empresário (Individual),Fonte 1,56.11-2-03,"Lanchonetes, casas de chá, de sucos e similares","(8000, 10000]","(900, 1150]",0,0,,,0,,,,,,0
AL,MACEIO,Doces & Confeitaria,213-5 - Empresário (Individual),Fonte 5,47.23-7-00,Comércio varejista de bebidas,"(1000, 1500]","(1300, 1600]",0,0,,,1,,,,,,1
PE,GRAVATA,Padaria,213-5 - Empresário (Individual),Fonte 1,10.91-1-01,Fabricação de produtos de panificação industrial,"(20000, 30000]","(350, 450]",0,0,,,0,,,,,,0
AL,MACEIO,Cafeteria,206-2 - Sociedade Empresária Limitada,Fonte 5,56.11-2-03,"Lanchonetes, casas de chá, de sucos e similares","(100000, 200000]","(250, 350]",0,0,,,0,,,,,,0
AL,MACEIO,Saudável,213-5 - Empresário (Individual),Fonte 5,56.20-1-01,Fornecimento de alimentos preparados preponderantemente para empresas,"(3000, 5000]","(2400, 3000]",0,1,55,,1,,,,,,0
PE,VITORIA DE SANTO ANTAO,Restaurante Brasileiro,213-5 - Empresário (Individual),Fonte 1,56.11-2-01,Restaurantes e similares,"(3000, 5000]","(25, 50]",0,0,,,0,,,,,,1
PE,RECIFE,Hambúrguer,213-5 - Empresário (Individual),Fonte 1,56.11-2-01,Restaurantes e similares,"(1000, 1500]","(25, 50]",0,0,,,0,,,,,,0
CE,FORTALEZA,Mercearia & Mercado,213-5 - Empresário (Individual),Fonte 1,47.21-1-02,Padaria e confeitaria com predominância de revenda,"(30000, 50000]","(2400, 3000]",1,0,25,Tecnologia e Pagamentos,0,,,,,,0
AL,MACEIO,Restaurante Brasileiro,206-2 - Sociedade Empresária Limitada,Fonte 5,56.11-2-01,Restaurantes e similares,"(30000, 50000]","(900, 1150]",2,4,5,Logística,1,,,,,,0
PE,IGARASSU,Doces & Confeitaria,213-5 - Empresário (Individual),Fonte 2,56.20-1-02,Serviços de alimentação para eventos e recepções - bufê,"(20000, 30000]","(900, 1150]",0,0,,,1,,,,,,0
PE,SAO LOURENCO DA MATA,Doces & Confeitaria,213-5 - Empresário (Individual),Fonte 5,56.11-2-01,Restaurantes e similares,"(200, 1000]","(450, 600]",0,0,,,0,,,,,,0
CE,FORTALEZA,Restaurante Brasileiro,213-5 - Empresário (Individual),Fonte 1,56.11-2-04,"Bares e outros estabelecimentos especializados em servir bebidas, sem entretenimento","(10000, 15000]","(4000, 5000]",0,0,,,1,,$,,,,1
PE,IPOJUCA,Cozinha Industrial,206-2 - Sociedade Empresária Limitada,Fonte 2,56.11-2-01,Restaurantes e similares,"(15000, 20000]","(150, 250]",18,12,1,"Comércio, Distribuição, Tecnologia",1,,,"(4.5, 5.0]","(10, 20]",1,1
AL,MACEIO,Mercearia & Mercado,213-5 - Empresário (Individual),Fonte 5,47.23-7-00,Comércio varejista de bebidas,"(8000, 10000]","(600, 750]",0,0,,,1,,,,,,0
AL,MACEIO,Restaurante Brasileiro,213-5 - Empresário (Individual),Fonte 5,56.11-2-01,Restaurantes e similares,"(3000, 5000]","(1600, 2000]",1,1,8,Bancos e Financeiro,1,,,,,,1
PB,SANTA RITA,Mercearia & Mercado,213-5 - Empresário (Individual),Fonte 1,47.12-1-00,"Comércio varejista de mercadorias em geral, com predominância de produtos alimentícios - minimercados, mercearias e armazéns","(3000, 5000]","(600, 750]",0,0,,,1,,,,,,0
PB,JOAO PESSOA,Padaria,213-5 - Empresário (Individual),Fonte 1,10.91-1-01,Fabricação de produtos de panificação industrial,"(8000, 10000]","(50, 100]",0,0,,,0,,,,,,0
CE,EUSEBIO,Padaria,213-5 - Empresário (Individual),Fonte 1,10.91-1-01,Fabricação de produtos de panificação industrial,"(8000, 10000]","(150, 250]",0,0,,,0,,,,,,0
PB,CONDE,Restaurante Brasileiro,206-2 - Sociedade Empresária Limitada,Fonte 5,56.11-2-01,Restaurantes e similares,"(20000, 30000]","(600, 750]",0,0,,,0,,,,,,0
CE,FORTALEZA,Pizza & Massas,213-5 - Empresário (Individual),Fonte 1,56.11-2-03,"Lanchonetes, casas de chá, de sucos e similares","(8000, 10000]","(450, 600]",0,0,,,1,,,,,,0
AL,MACEIO,Pizza & Massas,213-5 - Empresário (Individual),Fonte 5,56.11-2-01,Restaurantes e similares,"(8000, 10000]","(250, 350]",0,0,,,1,,,,,,0
AL,MACEIO,Restaurante Brasileiro,213-5 - Empresário (Individual),Fonte 5,56.11-2-01,Restaurantes e similares,"(3000, 5000]","(3000, 4000]",3,0,15,Seguros,1,,,,,,0
PE,PAULISTA,Doces & Confeitaria,213-5 - Empresário (Individual),Fonte 2,96.02-5-02,Atividades de estética e outros serviços de cuidados com a beleza,"(3000, 5000]","(1600, 2000]",0,0,,,1,,,,,,1
PE,PAULISTA,Lanches & Salgados,213-5 - Empresário (Individual),Fonte 1,47.24-5-00,Comércio varejista de hortifrutigranjeiros,"(3000, 5000]","(3000, 4000]",0,0,,,1,"(0, 5]",$,,,,0
CE,EUSEBIO,Doces & Confeitaria,213-5 - Empresário (Individual),Fonte 2,10.91-1-02,Fabricação de produtos de padaria e confeitaria com predominância de produção própria,"(30000, 50000]","(2000, 2400]",0,2,54,,1,,,,,,1
PE,OLINDA,Doces & Confeitaria,213-5 - Empresário (Individual),Fonte 2,56.20-1-04,Fornecimento de alimentos preparados preponderantemente para consumo domiciliar,"(1, 200]","(150, 250]",0,0,,,1,,,,,,0
AL,MACEIO,Mercearia & Mercado,213-5 - Empresário (Individual),Fonte 5,47.23-7-00,Comércio varejista de bebidas,"(3000, 5000]","(350, 450]",1,0,2,Tecnologia e Pagamentos,0,,,,,,0
PE,JABOATAO DOS GUARARAPES,Restaurante Brasileiro,213-5 - Empresário (Individual),Fonte 2,56.11-2-01,Restaurantes e similares,"(3000, 5000]","(50, 100]",0,0,,,0,,,"(4.5, 5.0]","(30, 50]",1,1
AL,MACEIO,Padaria,206-2 - Sociedade Empresária Limitada,Fonte 5,47.29-6-02,Comércio varejista de mercadorias em lojas de conveniência,"(70000, 100000]","(600, 750]",0,0,,,1,,,,,,1
PE,RECIFE,Cafeteria,206-2 - Sociedade Empresária Limitada,Fonte 1,56.11-2-03,"Lanchonetes, casas de chá, de sucos e similares","(8000, 10000]","(50, 100]",0,0,,,0,,,"(4.0, 4.5]","(200, 300]",1,0
CE,FORTALEZA,Lanches & Salgados,206-2 - Sociedade Empresária Limitada,Fonte 1,47.89-0-99,Comércio varejista de outros produtos não especificados anteriormente,"(10000, 15000]","(5000, 8000]",0,0,,,0,,,,,,0
AL,MACEIO,Lanches & Salgados,213-5 - Empresário (Individual),Fonte 5,56.20-1-04,Fornecimento de alimentos preparados preponderantemente para consumo domiciliar,"(8000, 10000]","(25, 50]",0,0,,,0,,,,,,0
PE,RECIFE,Restaurante Brasileiro,213-5 - Empresário (Individual),Fonte 2,56.11-2-01,Restaurantes e similares,"(30000, 50000]","(25, 50]",0,0,,,0,,,,,,1
AL,MACEIO,Restaurante Brasileiro,213-5 - Empresário (Individual),Fonte 5,56.11-2-03,"Lanchonetes, casas de chá, de sucos e similares","(200, 1000]","(2000, 2400]",0,1,39,,1,,,,,,1
PE,RECIFE,Hambúrguer,213-5 - Empresário (Individual),Fonte 5,47.89-0-07,Comércio varejista de equipamentos para escritório,"(70000, 100000]","(1150, 1300]",3,3,2,"Bancos e Financeiro, Bancos e Financeiro",1,,,,,,1
AL,MACEIO,Padaria,206-2 - Sociedade Empresária Limitada,Fonte 5,47.21-1-02,Padaria e confeitaria com predominância de revenda,"(200000, 1000000]","(8000, 25000]",0,0,,,1,,,,,,0
PE,IPOJUCA,Doces & Confeitaria,213-5 - Empresário (Individual),Fonte 2,56.12-1-00,Serviços ambulantes de alimentação,"(3000, 5000]","(3000, 4000]",0,0,,,0,,,"(4.0, 4.5]","(0, 5]",1,0
AL,MACEIO,Mercearia & Mercado,213-5 - Empresário (Individual),Fonte 5,47.12-1-00,"Comércio varejista de mercadorias em geral, com predominância de produtos alimentícios - minimercados, mercearias e armazéns","(5000, 8000]","(4000, 5000]",0,0,,,0,,,,,,0
PE,JABOATAO DOS GUARARAPES,Distribuidor,213-5 - Empresário (Individual),Fonte 1,47.72-5-00,"Comércio varejista de cosméticos, produtos de perfumaria e de higiene pessoal","(0, 1]","(1600, 2000]",0,0,,,1,,,,,,0
AL,MACEIO,Conveniência,213-5 - Empresário (Individual),Fonte 5,47.23-7-00,Comércio varejista de bebidas,"(30000, 50000]","(2000, 2400]",2,1,5,Serviços Ambientais,1,,,,,,0
CE,FORTALEZA,Churrascaria,213-5 - Empresário (Individual),Fonte 1,49.30-2-02,"Transporte rodoviário de carga, exceto produtos perigosos e mudanças, intermunicipal, interestadual e internacional","(30000, 50000]","(2400, 3000]",0,0,,,1,,,,,,0
PB,JOAO PESSOA,Restaurante Brasileiro,213-5 - Empresário (Individual),Fonte 5,56.11-2-05,"Bares e outros estabelecimentos especializados em servir bebidas, com entretenimento","(5000, 8000]","(900, 1150]",0,0,,,1,,,,,,0
AL,MACEIO,Restaurante Brasileiro,213-5 - Empresário (Individual),Fonte 5,56.20-1-04,Fornecimento de alimentos preparados preponderantemente para consumo domiciliar,"(2000, 3000]","(3000, 4000]",0,5,12,,1,,,,,,1
CE,FORTALEZA,Hotel,206-2 - Sociedade Empresária Limitada,Fonte 1,55.10-8-01,Hotéis,"(70000, 100000]","(2000, 2400]",0,0,,,0,,,,"(300, 500]",1,0
PE,SAO CAITANO,Mercearia & Mercado,213-5 - Empresário (Individual),Fonte 1,47.21-1-03,Comércio varejista de laticínios e frios,"(2000, 3000]","(0, 25]",0,0,,,0,,,,,,0
AL,MACEIO,Mercearia & Mercado,206-2 - Sociedade Empresária Limitada,Fonte 5,46.39-7-01,Comércio atacadista de produtos alimentícios em geral,"(100000, 200000]","(2400, 3000]",0,35,1,,1,,,,,,0
PE,RECIFE,Restaurante Brasileiro,213-5 - Empresário (Individual),Fonte 5,52.29-0-99,Outras atividades auxiliares dos transportes terrestres não especificadas anteriormente,"(5000, 8000]","(750, 900]",0,0,,,1,,$,,,,1
CE,AQUIRAZ,Hambúrguer,213-5 - Empresário (Individual),Fonte 1,56.11-2-03,"Lanchonetes, casas de chá, de sucos e similares","(1500, 2000]","(900, 1150]",0,0,,,1,,$,,,,1
CE,ITAITINGA,Restaurante Brasileiro,213-5 - Empresário (Individual),Fonte 1,56.20-1-04,Fornecimento de alimentos preparados preponderantemente para consumo domiciliar,"(20000, 30000]","(250, 350]",0,0,,,1,,,,,,0
CE,FORTALEZA,Doces & Confeitaria,213-5 - Empresário (Individual),Fonte 5,56.20-1-04,Fornecimento de alimentos preparados preponderantemente para consumo domiciliar,"(2000, 3000]","(50, 100]",0,0,,,1,,,,,,1
PE,RECIFE,Doces & Confeitaria,213-5 - Empresário (Individual),Fonte 1,56.20-1-04,Fornecimento de alimentos preparados preponderantemente para consumo domiciliar,"(0, 1]","(4000, 5000]",0,0,,,0,,,,,,0
CE,FORTALEZA,Restaurante Brasileiro,213-5 - Empresário (Individual),Fonte 1,56.20-1-04,Fornecimento de alimentos preparados preponderantemente para consumo domiciliar,"(1500, 2000]","(3000, 4000]",0,0,,,0,,,,,,0
CE,FORTALEZA,Lanches & Salgados,213-5 - Empresário (Individual),Fonte 5,56.20-1-04,Fornecimento de alimentos preparados preponderantemente para consumo domiciliar,"(2000, 3000]","(150, 250]",0,0,,,0,,,,,,1
PE,OLINDA,Açaí & Sorvetes,206-2 - Sociedade Empresária Limitada,Fonte 1,46.69-9-99,Comércio atacadista de outras máquinas e equipamentos não especificados anteriormente; partes e peças,"(20000, 30000]","(750, 900]",0,0,,,1,"(0, 5]",$,,,,0
PE,OLINDA,Distribuidor,213-5 - Empresário (Individual),Fonte 1,43.21-5-00,Instalação e manutenção elétrica,"(30000, 50000]","(25, 50]",0,0,,,0,,,,,,0
CE,FORTALEZA,Lanches & Salgados,213-5 - Empresário (Individual),Fonte 1,56.11-2-03,"Lanchonetes, casas de chá, de sucos e similares","(8000, 10000]","(8000, 25000]",0,0,,,1,,,,,,1
PE,GRAVATA,Açaí & Sorvetes,213-5 - Empresário (Individual),Fonte 1,56.11-2-01,Restaurantes e similares,"(8000, 10000]","(4000, 5000]",0,0,,,1,,,,,,0
PE,RECIFE,Padaria,213-5 - Empresário (Individual),Fonte 1,47.12-1-00,"Comércio varejista de mercadorias em geral, com predominância de produtos alimentícios - minimercados, mercearias e armazéns","(20000, 30000]","(2000, 2400]",0,0,,,0,,,,,,0
CE,FORTALEZA,Padaria,213-5 - Empresário (Individual),Fonte 1,10.91-1-01,Fabricação de produtos de panificação industrial,"(200, 1000]","(25, 50]",0,0,,,0,,,,,,1
PE,GRAVATA,Restaurante Brasileiro,213-5 - Empresário (Individual),Fonte 5,56.11-2-01,Restaurantes e similares,"(10000, 15000]","(150, 250]",0,0,,,0,,,,,,0
